job_id,host_oar,cigri_oar,submission_time_oar,start_time_oar,stop_time_oar,processor,job_type_oar,job_user_oar,resource_ids_oar,nb_resources,psetmin,psetmax,runtime_oar,number_of_RAPL_observation,max_amp_spec,dom_perdiod,dom_freq,energy_mean,energy_var,energy_coef_var,auto_correlation,significance_level,total_energy_consumption
3870806,71,0,1562016648,1562016649,1562025908,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9259,154,0.001850466911296807,4,-1,5.972536866429654,0.013487575314689467,0.0022582657280024888,0.22882973893005437,0.15793839874050605,91977067743.01666
3870806,71,0,1562016648,1562016649,1562025908,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9259,154,1.2398368730790212e-4,4,-1,6.211976097294962,0.004166075072372085,6.706521414636841e-4,0.13137112557205416,0.15793839874050605,95664431898.34242
3870830,46,0,1562040765,1562040766,1562042807,1,PASSIVE,cfalvo,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,2041,34,0.007823837037581797,36,-1,5.799528086323529,0.12527509206364731,0.0216009113498513,NA,0.33613105027889323,19718395493.5
3870830,46,0,1562040765,1562040766,1562042807,2,PASSIVE,cfalvo,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,2041,34,0.007465638060150224,36,-1,6.1897271912321745,0.13665569592892535,0.022077822124777945,NA,0.33613105027889323,21045072450.189392
3870876,41,0,1562053155,1562053156,1562062586,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9430,158,0.004252676609841998,53.33333333333333,-1,6.16891686925585,0.2885362210459362,0.04677259025549845,-0.006164232003951654,0.15592636246229274,97468886534.24243
3870876,41,0,1562053155,1562053156,1562062586,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9430,158,0.0036808739652320695,53.33333333333333,-1,6.15296749955888,0.2623447370467812,0.042637107552671014,-0.005940544260618934,0.15592636246229274,97216886493.0303
3870876,46,0,1562053155,1562053156,1562062586,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9430,158,0.004910972698421458,53.33333333333333,-1,6.189918092981876,0.2900531902877082,0.04685897065690906,-0.005790556401627599,0.15592636246229274,97800705869.11363
3870876,46,0,1562053155,1562053156,1562062586,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9430,158,0.002397659548674784,53.33333333333333,-1,6.200125568666571,0.25750598240486894,0.041532381812752456,-0.00510973534737838,0.15592636246229274,97961983984.93182
3870876,47,0,1562053155,1562053156,1562062586,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9430,157,0.005567794121289667,53.33333333333333,-1,5.657449873782796,0.2722810854299951,0.04812788296928155,-0.006752775772514539,0.15592636246229274,89387708005.76819
3870876,47,0,1562053155,1562053156,1562062586,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9430,157,0.0038016793206310695,53.33333333333333,-1,6.178292511142405,0.2688020526652944,0.043507498581609114,-0.0054663540559836835,0.15592636246229274,97617021676.05
